OrderNumber,ChannelOrderID,CustomerCode,CustomerName,Channel,ChannelNum,ChannelAccountNum,OrderDate,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,SKU,OrderQty,Price,ExtAmount,SubTotalAmount,DiscountAmount,TaxAmount,ShippingAmount,TotalAmount,OrderType,OrderStatus,Currency,UOM,Stockable,Costable,Taxable,IsProfit,ShipQty,OpenQty,Financial Status,Fulfillment Status,PaidAmount,Balance
20260314-5,ae9af445-49f9-49c0-88aa-804883a3bfc6,Etsy-VS, Etsy VS,Etsy,10008,10572,2026-03-14, Etsy VS Shipping, Jamie Clark, Soren Vale, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506,ADELINE-03-GOLD-5,2,16.57,33.14,116.17,0,0,17.39,133.56,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,133.56
20260314-5,ae9af445-49f9-49c0-88aa-804883a3bfc6,Etsy-VS, Etsy VS,Etsy,10008,10572,2026-03-14, Etsy VS Shipping, Jamie Clark, Soren Vale, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506,ADELINE-03-BROWN-B12,1,40.79,40.79,116.17,0,0,17.39,133.56,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,133.56
20260314-6,b3a3a5ca-3f2a-4ae6-8785-21e7e57e944f,JCPenney, JCPenney,JC Penney (By CommerceHub),30007,10575,2026-03-14, JCPenney Shipping, Alex Reed, Zane Holt, JCPenney Stores, 213 Gateway Rd,Building C, Retail ship location,Detroit,MI,48201, San Diego, USA, ship-jcpenney@example.com, (619) 555-2206, JCPenney Shipping, JCPenney Stores, 213 Gateway Rd,Building C, Retail ship location,Detroit,MI,48201, San Diego, USA, ship-jcpenney@example.com, (619) 555-2206,ADELINE-02-CAMEL-7.5,2,31.78,63.56,63.56,0,0,3.76,67.32,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,67.32
20260314-7,fa98e4ec-c9e4-4204-ac90-fc36afc9406f,Mirakl-Kohls, Mirakl Kohls,Kohl's (By Mirakl),10013,10576,2026-03-14, Mirakl Kohls Shipping, Jamie Clark, Asha Ives, Mirakl Kohls Network, 214 Silver Creek Rd,, Partner ship location,Salt Lake City,UT,84101, Santa Clara, USA, ship-mirakl-kohls@example.com, (408) 555-2306, Mirakl Kohls Shipping, Mirakl Kohls Network, 214 Silver Creek Rd,UNKNOWN, Partner ship location,Salt Lake City,UT,84101, Santa Clara, USA, ship-mirakl-kohls@example.com, (408) 555-2306,173451-1183CITIZEN-13-34,1,59.42,59.42,59.42,0,0,16.66,76.08,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,76.08
20260314-8,02f1eece-634f-4851-ad21-6ed506a4ad36,Macys, Macys,Macy's (By CommerceHub),30005,10574,2026-03-14, Macys Shipping, Taylor Kim, Blake Jett, Macys Stores, 215 King St,Room 304, Department ship location,Detroit,MI,48201, San Francisco, USA, ship-macys@example.com, (415) 555-2406, Macys Shipping, Macys Stores, 215 King St,Room 304, Department ship location,Detroit,MI,48201, San Francisco, USA, ship-macys@example.com, (415) 555-2406,CORA-01-FUCH-A12,3,18.09,54.27,129.67,0,0,13.16,142.83,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,142.83
20260314-8,02f1eece-634f-4851-ad21-6ed506a4ad36,Macys, Macys,Macy's (By CommerceHub),30005,10574,2026-03-14, Macys Shipping, Taylor Kim, Blake Jett, Macys Stores, 215 King St,Room 304, Department ship location,Detroit,MI,48201, San Francisco, USA, ship-macys@example.com, (415) 555-2406, Macys Shipping, Macys Stores, 215 King St,Room 304, Department ship location,Detroit,MI,48201, San Francisco, USA, ship-macys@example.com, (415) 555-2406,F13031C-1742VNTGBJ-24-STD,1,75.4,75.4,129.67,0,0,13.16,142.83,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,142.83
20260314-9,2a807d84-c48a-4d12-a473-74622cc4db32,Magento, Magento,Magento 2.x,20003,10581,2026-03-14, Magento Shipping, Morgan Lee, Cora Knox, Magento Platform, 216 Century Blvd,Suite 100, Platform ship location,Newark,NJ,07102, Los Angeles, USA, ship-magento@example.com, (213) 555-2506, Magento Shipping, Magento Platform, 216 Century Blvd,Suite 100, Platform ship location,Newark,NJ,07102, Los Angeles, USA, ship-magento@example.com, (213) 555-2506,ADELINE-02-CAMEL-9,3,17.85,53.55,119.13,0,0,8.36,127.49,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,127.49
20260314-9,2a807d84-c48a-4d12-a473-74622cc4db32,Magento, Magento,Magento 2.x,20003,10581,2026-03-14, Magento Shipping, Morgan Lee, Cora Knox, Magento Platform, 216 Century Blvd,Suite 100, Platform ship location,Newark,NJ,07102, Los Angeles, USA, ship-magento@example.com, (213) 555-2506, Magento Shipping, Magento Platform, 216 Century Blvd,Suite 100, Platform ship location,Newark,NJ,07102, Los Angeles, USA, ship-magento@example.com, (213) 555-2506,CORA-01-YLW-B12,3,21.86,65.58,119.13,0,0,8.36,127.49,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,127.49
20260314-10,0b97b570-39aa-46c5-8210-6aa46e5f2e20,Shopify, Shopify,Shopify,20001,10580,2026-03-14, Shopify Shipping, Alex Reed, Dario Lowe, Shopify Commerce, 217 Barranca Pkwy,PO Box 1234, Commerce ship location,Salt Lake City,UT,84101, Orange, USA, ship-shopify@example.com, (949) 555-2606, Shopify Shipping, Shopify Commerce, 217 Barranca Pkwy,PO Box 1234, Commerce ship location,Salt Lake City,UT,84101, Orange, USA, ship-shopify@example.com, (949) 555-2606,CORA-01-LEOP-6.5,4,17.77,71.08,90.37,0,0,16.5,106.87,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,4, , ,0,106.87
20260314-10,0b97b570-39aa-46c5-8210-6aa46e5f2e20,Shopify, Shopify,Shopify,20001,10580,2026-03-14, Shopify Shipping, Alex Reed, Dario Lowe, Shopify Commerce, 217 Barranca Pkwy,PO Box 1234, Commerce ship location,Salt Lake City,UT,84101, Orange, USA, ship-shopify@example.com, (949) 555-2606, Shopify Shipping, Shopify Commerce, 217 Barranca Pkwy,PO Box 1234, Commerce ship location,Salt Lake City,UT,84101, Orange, USA, ship-shopify@example.com, (949) 555-2606,AVIANA-06-BEIGE-6,1,19.29,19.29,90.37,0,0,16.5,106.87,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,106.87
20260314-11,b8176567-f4b9-4603-94e9-bfbf49a0b62b,Squarespace, Squarespace,Squarespace,20006,10582,2026-03-14, Squarespace Shipping, Jamie Clark, Elin Marsh, Squarespace Digital, 218 Camino Del Rio,Room 304, Digital ship location,Newark,NJ,07102, San Diego, USA, ship-squarespace@example.com, (619) 555-2706, Squarespace Shipping, Squarespace Digital, 218 Camino Del Rio,Room 304, Digital ship location,Newark,NJ,07102, San Diego, USA, ship-squarespace@example.com, (619) 555-2706,AVIANA-06-BEIGE-9.5,4,23.32,93.28,93.28,0,0,12.35,105.63,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,4, , ,0,105.63
20260314-12,bf63bef0-e40e-42c8-a167-4004f5a4dc40,Walmart-eComm, Walmart eComm,Walmart,10002,10566,2026-03-14, Walmart eComm Shipping, Morgan Lee, Gavin Orr, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906, Walmart eComm Shipping, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906,ADELINE-03-BLUE-8,1,12.13,12.13,101.36,0,0,2.61,103.97,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,103.97
20260314-12,bf63bef0-e40e-42c8-a167-4004f5a4dc40,Walmart-eComm, Walmart eComm,Walmart,10002,10566,2026-03-14, Walmart eComm Shipping, Morgan Lee, Gavin Orr, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906, Walmart eComm Shipping, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906,F13031C-1742VNTGCO-25-STD,1,46.13,46.13,101.36,0,0,2.61,103.97,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,103.97
20260314-12,bf63bef0-e40e-42c8-a167-4004f5a4dc40,Walmart-eComm, Walmart eComm,Walmart,10002,10566,2026-03-14, Walmart eComm Shipping, Morgan Lee, Gavin Orr, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906, Walmart eComm Shipping, Walmart eComm Retail, 220 Townsend St,Suite 100, National ship location,Phoenix,AZ,85001, San Francisco, USA, ship-walmart-ecomm@example.com, (415) 555-2906,ADELINE-03-GOLD-7.5,2,21.55,43.1,101.36,0,0,2.61,103.97,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,103.97
20260314-13,f235cabb-00e5-4e9b-9789-c18fdb014c40,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,ASTRID-01-GREY-6.5,1,44.03,44.03,107.14,0,0,4.81,111.95,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,111.95
20260314-13,f235cabb-00e5-4e9b-9789-c18fdb014c40,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,CORA-01-CAME-12,2,13.04,26.08,107.14,0,0,4.81,111.95,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,111.95
20260314-13,f235cabb-00e5-4e9b-9789-c18fdb014c40,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,Room 304, Main ship location,Miami,FL,33101, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,ASTRID-01-BLUSH-6,1,37.03,37.03,107.14,0,0,4.81,111.95,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,111.95
20260314-14,95b9c9d4-25bc-431e-b0a7-8b890690920d,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,ADELINE-02-NUDE-6,1,32.89,32.89,135.03,0,0,2.46,137.49,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,137.49
20260314-14,95b9c9d4-25bc-431e-b0a7-8b890690920d,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,ASTRID-01-GREY-10,2,16.67,33.34,135.03,0,0,2.46,137.49,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,137.49
20260314-14,95b9c9d4-25bc-431e-b0a7-8b890690920d,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Charlotte,NC,28202, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,CORA-01-LEOP-11,4,17.2,68.8,135.03,0,0,2.46,137.49,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,4, , ,0,137.49
20260314-15,65a2cbdd-9ced-4b53-804c-003c248cee1d,eBay, eBay,eBay,10004,10570,2026-03-14, eBay Shipping, Morgan Lee, Quentin Hale, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, eBay Shipping, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306,CAMILA-06-BLACK-6,1,14.47,14.47,69.36,0,0,14.87,84.23,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,84.23
20260314-15,65a2cbdd-9ced-4b53-804c-003c248cee1d,eBay, eBay,eBay,10004,10570,2026-03-14, eBay Shipping, Morgan Lee, Quentin Hale, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, eBay Shipping, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306,F13T007SS-CABERNET-S-STD,1,12.35,12.35,69.36,0,0,14.87,84.23,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,84.23
20260314-15,65a2cbdd-9ced-4b53-804c-003c248cee1d,eBay, eBay,eBay,10004,10570,2026-03-14, eBay Shipping, Morgan Lee, Quentin Hale, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, eBay Shipping, eBay Commerce, 204 Fulfillment Ave,Suite 100, Standard ship location,Las Vegas,NV,89101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306,ADELINE-03-BLUE-A12,3,14.18,42.54,69.36,0,0,14.87,84.23,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,84.23
20260314-16,45e6056f-415e-48b3-a57f-70307626d51a,Etsy-LS, Etsy LS,Etsy,10008,10571,2026-03-14, Etsy LS Shipping, Alex Reed, Rhea Moss, Etsy LS Marketplace, 205 Mission St,Suite 100, Marketplace ship location,Newark,NJ,07102, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406, Etsy LS Shipping, Etsy LS Marketplace, 205 Mission St,Suite 100, Marketplace ship location,Newark,NJ,07102, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406,AVIANA-06-BLACK-10,2,17.76,35.52,103.84,0,0,13.47,117.31,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,117.31
20260314-16,45e6056f-415e-48b3-a57f-70307626d51a,Etsy-LS, Etsy LS,Etsy,10008,10571,2026-03-14, Etsy LS Shipping, Alex Reed, Rhea Moss, Etsy LS Marketplace, 205 Mission St,Suite 100, Marketplace ship location,Newark,NJ,07102, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406, Etsy LS Shipping, Etsy LS Marketplace, 205 Mission St,Suite 100, Marketplace ship location,Newark,NJ,07102, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406,173451-1183CITIZEN-15-STD,2,34.16,68.32,103.84,0,0,13.47,117.31,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,117.31
20260314-17,6818ec45-6d79-441c-a378-7983af69dc08,Etsy-VS, Etsy VS,Etsy,10008,10572,2026-03-14, Etsy VS Shipping, Jamie Clark, Soren Vale, Etsy VS Marketplace, 206 Pacific Hwy,Suite 100, Seasonal ship location,Minneapolis,MN,55401, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy,Suite 100, Seasonal ship location,Minneapolis,MN,55401, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506,ADELINE-02-CAMEL-11,1,58.91,58.91,81.7,0,0,0,81.7,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,81.7
20260314-17,6818ec45-6d79-441c-a378-7983af69dc08,Etsy-VS, Etsy VS,Etsy,10008,10572,2026-03-14, Etsy VS Shipping, Jamie Clark, Soren Vale, Etsy VS Marketplace, 206 Pacific Hwy,Suite 100, Seasonal ship location,Minneapolis,MN,55401, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy,Suite 100, Seasonal ship location,Minneapolis,MN,55401, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506,CAMILA-06-LILAC-5,1,22.79,22.79,81.7,0,0,0,81.7,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,81.7
20260314-18,47f156e1-52d8-48eb-a329-6c70616b577d,JCPenney, JCPenney,JC Penney (By CommerceHub),30007,10575,2026-03-14, JCPenney Shipping, Alex Reed, Zane Holt, JCPenney Stores, 213 Gateway Rd,Building C, Retail ship location,Denver,CO,80202, San Diego, USA, ship-jcpenney@example.com, (619) 555-2206, JCPenney Shipping, JCPenney Stores, 213 Gateway Rd,Building C, Retail ship location,Denver,CO,80202, San Diego, USA, ship-jcpenney@example.com, (619) 555-2206,CAMILA-06-BLACK-11,2,59,118,118,0,0,5.32,123.32,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,123.32
